Course Number	Course Name	Type of Course	Prereqs	Coreqs	Current Course Description	Faculty Written Updated Course Description	Undergrad Affairs Committee Proposed Changes	Other Faculty Proposed Changes	Tracks	Focus: Computational & Mathematical Biology	Focus: Conservation Biology	Focus: Ecology & Environmental Science	Focus: Evolutionary Biology	Focus: Pre-Professional Health
EEB 205	Theory and Methods in Ecology and Evolutionary Biology				"Introduction to fundamental theories and methods in ecology and evolutionary biology. Knowledge and skills needed to succeed through direct, active experiences evaluating the communicating scientific evidence. Topics reflect current research interests in the department, as well as classic case studies in the discipline. Emphasizes practical understanding of scientific process with focus on developing skills needed for upper-level courses. Provides opportunities to become familiar with research interests of faculty members, enabling students to identify potential future research opportunities."							Y	Y	Y
EEB 240	Human Anatomy	Lecture/Lab	BCMB 230 or BIOL 101 or BIOL 102 or BIOL 150 and BIOL 159 or BIOL 158 and BIOL 167 or BIOL 160 and BIOL 159 or BIOL 168 and BIOL 167 or BIOL 113 and BIOL 115 or BIOL 114 and BIOL 115 or MICR 210		Gross and microanatomy of the human				health				Y	Y
EEB 304	Socio-Economic Impact of Plants	Lecture			"Significance of plants in origin and development of human cultures, evolution of cultivated plants, and role of plants in present civilization."				health					
EEB 305	Evolution and Society	Lecture	ANTH 101 or BIOL 101 and BIOL 102 or BIOL 113 and BIOL 115 or BIOL 114 and BIOL 115 or BIOL 150 or BIOL 158		Issues and controversies surrounding the teaching and learning of evolution in America today. Writing-emphasis course.		petition to be Gen Ed WC course							
EEB 306	Ecology and Society	Lecture	BIOL 101 and BIOL 102 or BIOL 113 and BIOL 115 or BIOL 114 and BIOL 115 or BIOL 150 or BIOL 158		"Issues and controversies in ecology and their biological, social, and economic significance. "		petition to be Gen Ed WC course							
EEB 309	Biology of Human Affairs	Lecture			"Current topics in biology and their public relevance, especially the interaction between biology and government. Issues include conservation, health, agriculture, national parks, population, etc. "		petition to be Gen Ed WC course		health					
EEB 310	"Evolution, Disease and Medicine"	Lecture			"Evolutionary theory and scientific reasoning in ecology and evolutionary biology, as applied to human disease, medical theory and practice, and public health. Focus on logical rigor, applying theory to generate hypotheses consistent with observations, and applying and interpreting theory to predict the outcomes of experimental manipulations/interventions. "				health	Y				Y
EEB 330	Field Botany	Lecture	BIOL 101 or BIOL 102 or BIOL 105 or BIOL 106 or BIOL 113 or BIOL 114 or BIOL 115 or BIOL 150 or BIOL 158 or BIOL 160 or BIOL 168 or BIOL 260 or BIOL 280 or EEB 304 or EEB 305 or EEB 306		"Principles of taxonomy, basic ecological concepts and identification, recognition, collection and preservation of local, native and naturalized plants. "	"Explore the diversity of local plants of east TN, both under the microscope in the laboratory and outside in the field. Develop identification skills for invasive, native, and naturalized plants, which are critical for ecological and wildlife professions. Field trips will include visiting research facilities that are dedicated to the conservation, identification, and preservation of plants. "	Change designiation to Lab		biodiversity		Y	Y		
EEB 351	Biodiversity of Fungi	Lecture/Lab	BIOL 150 or BIOL 158 or BIOL 114		"Evolution, classification, collection, preservation and morphological and molecular identification of fungi with emphasis on aquatic and terrestrial flora of east Tennessee. "				biodiversity		Y	Y		
EEB 353	Comparative Vertebrate Biology	Lecture/Lab	BIOL 150 or BIOL 158 or BIOL 114		"Study of vertebrate animals, including identification, phylogeny, ecology and structural, behavioral, and physiological adaptations. Lab emphasizes local diversity of birds, mammals, reptiles, amphibians, and freshwater fish. "				"biodiversity, health"				Y	Y
EEB 370	Evolutionary Psychology and Ethology	Lecture			"Basic concepts in the evolutionary approach to behavior, including applications to psychology, the social sciences, and the humanities. "				health				Y	Y
EEB 400	Undergraduate Research	Research			Research projects under supervision of faculty. 									
EEB 401	Natural History Collections Research										Y	Y		
EEB 404	Ecosystem Ecology	Lecture 	BIOL 260		"This course will introduce students to cutting edge collections-based research. We will explore topics such as biodiversity, conservation management, invasive species biology, anthropology, paleontology, ecology, evolution, scientific ethics, and advocacy that are informed by data from natural history collections."				biodiversity		Y	Y		
EEB 405	Ecosystem Ecology Laboratory	Lab	BIOL 260	EEB 404	"Introduction to observational and experimental research in ecosystem ecology including field measurement of components of the carbon and nitrogen cycle, field and green house experiments, and laboratory manipulations. Requires periodic field trips to research sites and at least one overnight field trip. "		Make lab 4 hour block							
EEB 406	Models in Biology	Lecture	MATH 142 or MATH 148 or MATH 152		Difference and differential equation models of biological systems. 				modeling	Y	Y			
EEB 407	Senior Honors Thesis	Research	EEB 400		Written preparation and oral presentation of faculty-supervised student research. 									
EEB 409	Perspectives in Ecology and Evolutionary Biology	Lecture	ENGL 102 or ENGL 132 or ENGL 290 or ENGL 298		"Forefront considerations of ecology, behavior, and evolutionary biology. Emphasis on current developments for applications, including societal and economic impacts and moral and ethical implications. An oral presentation and a referenced library-research essay are required. Writing-emphasis course."		Make variable title							
EEB 410	Ecological and Evolutionary Developmental Biology				This course will discuss how organisms develop and interact with their surrounding environment as well as their evolutionary history.								Y	Y
EEB 411	Biostatistics	Lecture	MATH 141 or MATH 151		"Experimental design and hypothesis testing for ecology and evolutionary biology research. Parameter estimation, general linear models, generalized linear models, maximum likelihood, and permutation approaches, and their application to problems in ecology and evolutionary biology. "				modeling	Y		Y		Y
EEB 412	Environmental Toxicology				"Principles of toxicology focusing on fate and effects of chemicals in the environment. Topics include history of environmental toxicology; contaminant classification, source, fate, and effects; toxicokinetics; dose-response; major body system contaminant interactions; reproductive toxicology, mutagenesis, teratogeneses, and carcinogenesis; endocrine disruptors; bioaccumulation; toxicity testing; population to global ecological effects; risk assessment; environmental laws and policies."					Y		Y		Y
EEB 413	Art and Organism - Integrative Biology of Aesthetic Experience	Lecture			"An integrative approach to fundamental concepts of developmental biology, ecology, evolutionary biology, and physiology applied to culture, art and aesthetic experience. "		Request corresponding Grad level course or amend to allow for grad credit							
EEB 414	Plant Anatomy	Lecture	BIOL 113 and BIOL 114 or BIOL 150 and BIOL 160		"Cells, tissues, and organs. Their development in vegetative and reproductive structures of vascular plants. Emphasis on seed plants. "		Change to 314 		biodiversity			Y	Y	
EEB 415	Field Ecology	Lecture	BIOL 260		"Study of the field methods to examine fundamental concepts in ecology, including development of skills in hypothesis development, experimental design, field observation, plant, animal and microbial sampling techniques, data reduction and statistical analysis, and written and oral presentations. "	"EXAMPLE - Develop scientific and professional development skills critical to becoming a professional Ecologist. Learn field methods to examine fundamental concepts in ecology, including development of skills in hypothesis development, experimental design, field observation, plant, animal and microbial sampling techniques, data reduction and statistical analysis, and written and oral presentations. Three weekend field trips required."	"petition to be Gen Ed WC course, Experience Learning Designation, change designation to Lab"		modeling	Y		Y		
EEB 419	Global Change Ecology	Lecture	BIOL 260		"Understanding global-scale environmental changes and the consequences of these changes for species and ecological communities. Course will be a mix of lectures, reading of primary literature, group discussion/participation, and field research. "		Amend to allow for grad credit		biodiversity		Y	Y		
EEB 420	Fungal Diversity				"Ecology and evolutionary biology of fungi revealed mostly through use of molecular techniques. Many fungi, and the ecological roles they serve, are often obscure due to their ephemeral nature, difficulty of detection, and convergent gross morphological similarities. Advances in molecular biology have uncovered an unanticipated depth of diversity in fungi and permitted scientists to address research questions not possible until only recently. This seminar will provide an overview of fungal ecology and evolution by examining the primary literature. Multiple dimensions of fungal diversity are explored: taxonomic, genetic, and functional."							Y	Y	
EEB 421	Community Ecology	Lecture	BIOL 260		"Interactions between individuals, species, communities and environments, including competition, coexistence, predation, herbivory. Causes and consequences of biological diversity; biological invasions. Application of advanced sampling and analysis techniques. Local to global environmental change. Includes periodic field trips or laboratories. "		Add Lab to Community Ecology 		biodiversity		Y	Y		
EEB 422	Landscape Ecology				"Online course broadens the spatial scale of ecological study to consider influence of landscape-level patterns on ecological processes. Important issues, concepts, and methodologies relevant to landscape ecology. Students will a) research scientific literature and present findings in short oral presentations; b) research popular writing related to landscape ecology and present findings in short oral presentations; c) perform, analyze, and orally communicate computer simulation experiments."						Y	Y		
EEB 423	Conservation Decision Making				"Online course will teach structured decision making process. Learn to enable people representing diverse interests to come together to form a common understanding and to create scientifically rigorous, inclusive, defensible, and transparent conservation and natural resource management plans. Course requires regular interaction with classmates in weekly online discussion, a mock conservation planning project, and a small-group evaluation of a published conservation plan (which includes a recorded interview of one of its authors)."						Y	Y		
EEB 424	Plant Diversity and Evolution	Lecture	BIOL 102 or BIOL 114 or BIOL 150 or BIOL 158		"A survey of the evolutionary history of photosynthetic cyanobacteria and green plants (green algae, bryophytes, lycophytes, ferns and seed plants). A hands-on laboratory provides an in-depth understanding of major morphological and developmental features of each group. "				biodiversity			Y	Y	
EEB 425	Communicating the Science of Climate Change				"Online course examines impacts of global climate change on biodiversity. Understand past, current, and projected impacts of climate change and evaluate proposed solutions for the current climate crisis. Discuss implications of climate change science. Choose several socially-relevant climate change biology topics to research and communicate to the public."						Y	Y		
EEB 426	Plant-Animal Interactions	Lecture	BIOL 260		"Introduction to the evolutionary and ecological aspects of interactions between plants and animals, including herbivory, pollination, and seed dispersal. Emphasis is on historical development of the field, discussions of primary literature, design of experiments, and writing. "				biodiversity		Y	Y		
EEB 430	Invasion Biology				"History, biology, and management of biological invasions, geography and scale of invasions, ecological effects, impacts to humans, and evolution of introduced and native species. Differences between �introduced� and �invasive� species will inform discussions about prevention, regulation, detection, management, and eradication. Comprehensive consideration of interesting case studies. Apply knowledge in a variety of scenarios and fields. Discussion of controversies surrounding biological invasions and prospects for the future of invasions considering biotic homogenization, animal rights, human activity, climate change, and management with new technologies."						Y	Y		
EEB 433	Plant Ecology	Lecture/Lab	BIOL 260		"Principles, fundamental concepts and techniques in plant ecology, including topics such as plant interactions with climate, soils, microbiomes, community dynamics and plant-mediated ecosystem processes. "		petition to be Gen Ed WC course		biodiversity		Y	Y		
EEB 444	Diversity of Fishes				This course will explore the rich diversity of fishes in Tennessee.						Y		Y	
EEB 450	Comparative Animal Behavior	Lecture			"Principles and methods of ethology with emphasis on ecological, developmental, physiological, and evolutionary aspects. "				health				Y	Y
EEB 451	Research Ethics				"Ethics of scientific research with emphasis on biological sciences from genetic to ecological research. Ethics of intellectual property, allocation of resources for research, genetic engineering, research on marginalized and vulnerable populations, research on non-human animals, conservation biology, ecological fieldwork, and more."									Y
EEB 454	Animal Communication	Lecture			"Principles of communication in animals.  Analyses of developmental, mechanistic, functional, and evolutionary  influences on communicative signals.  Information and coding, communication and social behavior, signal complexity and human language. "				"health, biodiversity"				Y	Y
EEB 459	Comparative Animal Behavior Laboratory	Lecture	EEB 450 or PSYC 450		Introduction to observational and experimental research in ethology. 									
EEB 461	Special Topics in Organismal Biology	Lecture			Current topics in organismal biology. 									
EEB 461	Biology of Fungi						Create a 300 level number for this course							
EEB 461	Methods and Theory						Create a 200 level number for this course							
EEB 461	Behavioral Ecology						Create a number for this course							
EEB 461	Speciation Genetics						Create a number for this course							
EEB 461	Avian Diversification						Create a number for this course							
EEB 464	Macroevolution	Lecture	BIOL 280		"History of life, phylogenetics, trait evolution, levels of selection, speciation and extinction, coevolution, taphonomy, astrobiology. "								Y	Y
EEB 465	Special Topics in Ecology	Lecture			Current topics in Ecology. 									
EEB 465	Enviromental Toxicology						Create a number for this course							
EEB 465	Invasion Biology						Create a number for this course							
EEB 465	Population Modeling and Lab						Create a number for this course							
EEB 465	Landscape Ecology						Create a number for this course							
EEB 466	Special Topics in Evolution	Lecture			Current topics in Evolution. 									
EEB 469	Special Topics in Conservation Biology	Lecture			"Current topics on the conservation of biological diversity at population, community and ecosystem levels. "				conservation					
