	Fall 2020	Spring 2021	Summer 2021	Fall 2021	Spring 2022	Summer 2022	Fall 2022	Spring 2023	Summer 2023	Fall 2023	Spring 2024	Summer 2024	Fall 2024	Spring 2025	Summer 2024
EEB 205 Methods & Theory in EEB					X						X				
EEB 240 Human Anatomy	X	X		X	X		X	X		X	X		X	X 	
EEB 304 Soc Econ Plants		X			X			X			X			X 	
EEB 305 Evol & Society	X 			X			X 			X			X  		
EEB 306 Ecol & Society					X 			X 			X 			X 	
EEB 310 Evol Dis & Medicine		X			X			X			X			X	
EEB 311 Career Prof Dev in EEB		X 			X 			X 			X 			X 	
EEB 330 Field Bot	X		X	X		X	X		X	X		X	X 		X
EEB 351 Field Mycology				X						X					
EEB 353 Comp Vert Anatomy		X 						X 						X	
EEB 370 Evol Psych & Ethology (PSYC 370)		X			X			X			X			X  	
EEB 400 Undergrad Research	X	X		X	X		X	X		X	X		X	X  	
EEB 401 Nat Hist Collections Research	X			X			X			X			X 		
EEB 404 Ecosystem Ecology		X			X			X			X			X 	
EEB 405 Ecosys Lab 															
EEB 406 Models in Biology		X			X			X			X			X	
EEB 407 Sen Hons Thesis	X	X		X	X		X	X		X	X		X	X	
EEB 409 Persp E & E															
EEB 410 Eco-Evo-Devo								X							
EEB 411 Biostatistics	X	X		X	X		X	X		X	X		X	X	
EEB 412 Env Toxicology	X			X			X			X			X		
EEB 413 Art & Organism															
EEB 414 Plant Anatomy					X						X				
EEB 415 Field Ecology				X						X					
EEB 419 Global Change Biology	X			X			X			X			X		
EEB 420 Fungal Diversity							X						X		
EEB 421 Community Ecology															
EEB 422 Landscape Ecology (online)		X			X			X			X			X	
EEB 423 Cons Dec Making (online)	X			X			X			X			X		
EEB 424 Plant Diversity & Evolution	X						X						X		
EEB 425 Comm Sci Climate Change (online)	X			X			X			X			X		
EEB 426 Plant-Animal Interactions		X						X						X	
EEB 430 Invasion Biology		X			X			X			X			X	
EEB 433 Plant Ecology		X			X			X			X			X	
EEB 444 Diversity of TN Fishes			X			X			X			X			X
EEB 450 Comp An Behavior (PSYCH 454)		X		X	X			X			X		X	X	
EEB 451 Research Ethics		X			X			X			X			X	
EEB 454 Anim Communication (PSYC 454)	X									X			X		
EEB 459 Com An Behav Lab (PSYCH 459)							X								
EEB 461 Spec Tops Org Biology															
EEB 464 Macroevolution	X			X			X			X			X		
EEB 465 Spec Tops Ecol Var title (periodically)				X						X					
EEB 466 Spec Topcs Evo Var title (periodically)															
EEB 469 Spec Topcs Con Bio Var title (periodically)															
EEB 470 Aq Ecology															
EEB 471 Aq MacroEcology & Conservation		X			X			X			X			X	
EEB 473 Herpetology	X			X  			X			X  			X		
EEB 474 Ichthyology	X			X			X			X 			X 		
EEB 475 Conversational BioMath Modeling					X						X				
EEB 476 Theoretucal Ecology Applications		X 		X 						X 					
EEB 480 Nat Hist Smokies (periodic mini-term)															
EEB 481 Avian Diversity			X			X			X			X			X
EEB 484 Conservation Biology	X 						X 	X 					X 	X 	
EEB 485 Ethnobiology			X			X			X			X			X
EEB 490 UG Seminar	X	X		X	X		X	X		X	X		X	X	
EEB 492 Internship	X	X		X	X		X	X		X	X		X	X	
EEB 493 Indep Study	X	X		X	X		X	X		X	X		X	X	
EEB 495 Evol Ecology															
EEB 496 Spec Tops Sem Var Titles	X	X		X	X		X	X		X	X		X	X	
EEB 500 Thesis	X	X		X	X		X	X		X	X		X	X	
EEB 502 Reg for Facs	X	X		X	X		X	X		X	X		X	X	
EEB 503 EEB Sem	X	X		X	X		X	X		X	X		X	X	
EEB 504 Spec Tops Var Title	X	X		X	X		X	X		X	X		X	X	
EEB 507 2/4 Sem		X			X			X			X			X	
EEB 509 Core:Ecology		X			X			X			X			X	
EEB 511 Core:Evolution	X			X			X			X			X		
EEB 513 Art & Org															
EEB 543 Aq Insects															
EEB 546 Evo Psych															
EEB 547 Con Found Evo Behav															
EEB 550 Ecol Niche Models	X						X						X		
EEB 560 Biometry	X	X		X	X		X	X		X	X		X	X	
EEB 580 Pop Models															
EEB 581 Math Ecol I	X			X			X			X			X		
EEB 582 Math Ecol II		X			X			X			X			X	
EEB 585 Math Evo Theory				X						X					
EEB 587 Phylo Methods		X						X						X	
EEB 589 Math Ecol Seminar															
EEB 591 For Study															
EEB 592 Off Camp Study															
EEB 593 Indep Study	X	X		X	X		X	X		X	X		X	X	
EEB 598 Bio Educ: Theory & Practice		X			X						X				
EEB 600 Doc Res Diss	X	X		X	X		X	X		X	X		X	X	
EEB 602 Adv Top Var Titles	X	X		X	X		X	X		X	X		X	X	
EEB 603 Adv Tops Var Titles	X	X		X	X		X	X		X	X		X	X	
EEB 606 Adv Tops Con Bio	X	X		X	X		X	X		X	X		X	X	
EEB 607 Lab Groups	X	X		X	X		X	X		X	X		X	X	
EEB 609 Adv Tops Comp An Behavior															
EEB 610 Adv Tops Math		X			X			X			X			X	
EEB 611 Adv Tops Org Bio															
EEB 612 Adv Tops Enviro Tox	X			X			X			X			X		
EEB 681 Adv Math Eco I	X			X			X			X			X		
